iter	Passed	Remaining
0	2	227
1	6	335
2	9	302
3	10	259
4	12	242
5	14	228
6	17	226
7	23	269
8	32	324
9	36	327
10	38	311
11	40	295
12	41	280
13	43	268
14	45	257
15	47	247
16	49	242
17	51	234
18	53	226
19	54	218
20	56	212
21	58	206
22	59	200
23	61	194
24	64	192
25	65	187
26	69	187
27	70	182
28	72	176
29	74	172
30	75	167
31	76	163
32	79	160
33	80	156
34	82	152
35	83	148
36	84	144
37	86	141
38	88	138
39	89	134
40	91	131
41	91	126
42	93	124
43	95	121
44	96	118
45	98	115
46	100	113
47	104	112
48	105	109
49	107	107
50	108	104
51	110	101
52	111	98
53	113	96
54	114	93
55	115	90
56	117	88
57	118	85
58	121	84
59	122	81
60	124	79
61	127	77
62	128	75
63	129	72
64	131	70
65	132	68
66	133	65
67	136	64
68	139	62
69	146	62
70	151	61
71	154	60
72	156	57
73	159	56
74	167	55
75	171	54
76	173	51
77	175	49
78	177	47
79	180	45
80	205	48
81	207	45
82	209	42
83	212	40
84	214	37
85	216	35
86	218	32
87	220	30
88	223	27
89	224	24
90	227	22
91	228	19
92	231	17
93	232	14
94	233	12
95	235	9
96	236	7
97	237	4
98	240	2
99	243	0
