iter	Passed	Remaining
0	165	165609
1	168	84326
2	171	56953
3	173	43093
4	176	35188
5	178	29583
6	180	25535
7	181	22491
8	182	20122
9	184	18234
10	185	16682
11	186	15389
12	189	14405
13	191	13463
14	192	12644
15	193	11926
16	195	11292
17	196	10727
18	197	10223
19	199	9768
20	201	9401
21	205	9114
22	206	8769
23	207	8451
24	209	8161
25	210	7891
26	212	7642
27	213	7411
28	218	7328
29	220	7137
30	222	6948
31	223	6770
32	225	6612
33	227	6455
34	230	6366
35	233	6255
36	235	6118
37	236	5988
38	238	5864
39	239	5746
40	240	5634
41	245	5590
42	248	5537
43	253	5501
44	254	5404
45	256	5311
46	259	5255
47	261	5186
48	263	5114
49	266	5060
50	269	5014
51	271	4941
52	276	4943
53	280	4909
54	284	4886
55	294	4959
56	296	4899
57	298	4840
58	299	4781
59	301	4724
60	305	4700
61	309	4685
62	311	4638
63	313	4590
64	316	4547
65	323	4580
66	325	4533
67	327	4482
68	328	4432
69	329	4383
70	331	4335
71	335	4321
72	338	4293
73	339	4249
74	341	4207
75	342	4165
76	344	4124
77	345	4084
78	347	4046
79	350	4029
80	358	4068
81	409	4580
82	410	4533
83	412	4497
84	414	4461
85	421	4479
86	423	4447
87	425	4414
88	428	4382
89	436	4416
90	520	5194
91	522	5154
92	524	5112
93	527	5079
94	529	5041
95	538	5067
96	541	5037
97	543	5001
98	548	4992
99	551	4959
100	555	4943
101	557	4912
102	566	4935
103	569	4902
104	571	4868
105	575	4854
106	577	4821
107	579	4790
108	582	4758
109	584	4728
110	586	4697
111	593	4706
112	595	4677
113	598	4648
114	600	4620
115	709	5410
116	711	5369
117	714	5338
118	716	5304
119	719	5279
120	722	5246
121	723	5209
122	726	5176
123	728	5143
124	730	5116
125	735	5104
126	737	5070
127	739	5040
128	789	5333
129	869	5818
130	871	5782
131	873	5745
132	875	5709
133	877	5673
134	886	5677
135	888	5641
136	892	5620
137	898	5614
138	906	5612
139	935	5745
140	937	5711
141	938	5672
142	941	5641
143	945	5620
144	955	5633
145	957	5601
146	959	5568
147	961	5537
148	964	5506
149	966	5475
150	968	5443
151	970	5412
152	972	5381
153	980	5384
154	982	5354
155	984	5325
156	986	5296
157	988	5268
158	991	5243
159	995	5226
160	996	5194
161	998	5165
162	1000	5137
163	1002	5108
164	1004	5081
165	1007	5060
166	1009	5034
167	1029	5100
168	1032	5074
169	1034	5049
170	1110	5383
171	1112	5356
172	1115	5330
173	1117	5305
174	1122	5293
175	1131	5295
176	1133	5268
177	1141	5269
178	1143	5244
179	1207	5502
180	1209	5474
181	1212	5447
182	1214	5420
183	1216	5393
184	1218	5368
185	1220	5342
186	1222	5316
187	1225	5291
188	1230	5281
189	1232	5256
190	1235	5231
191	1237	5206
192	1240	5185
193	1244	5172
194	1247	5148
195	1249	5125
196	1251	5101
197	1253	5077
198	1255	5054
199	1264	5056
200	1266	5034
201	1268	5011
202	1314	5161
203	1316	5138
204	1326	5143
205	1427	5502
206	1429	5477
207	1432	5452
208	1434	5428
209	1436	5402
210	1438	5377
211	1439	5352
212	1441	5327
213	1443	5302
214	1445	5278
215	1447	5254
216	1454	5247
217	1456	5225
218	1548	5520
219	1552	5503
220	1554	5479
221	1556	5456
222	1559	5432
223	1563	5417
224	1567	5399
225	1571	5381
226	1573	5358
227	1575	5335
228	1580	5320
229	1582	5297
230	1639	5457
231	1644	5445
232	1647	5424
233	1652	5409
234	1654	5386
235	1656	5362
236	1664	5357
237	1666	5334
238	1668	5311
239	1670	5288
240	1672	5266
241	1678	5258
242	1686	5253
243	1690	5238
244	1692	5217
245	1695	5195
246	1700	5184
247	1702	5163
248	1712	5166
249	1715	5145
250	1717	5125
251	1731	5139
252	1733	5119
253	1745	5125
254	1747	5106
255	1750	5086
256	1807	5226
257	1809	5205
258	1812	5184
259	1820	5181
260	1822	5160
261	1824	5140
262	1826	5119
263	1829	5099
264	1834	5087
265	1836	5068
266	1839	5048
267	1841	5029
268	1848	5023
269	1855	5016
270	1857	4997
271	1860	4979
272	1865	4968
273	1869	4953
274	1871	4935
275	1875	4919
276	1880	4907
277	1882	4889
278	1884	4870
279	1898	4882
280	1901	4864
281	1903	4847
282	1906	4829
283	1910	4817
284	1913	4799
285	1915	4782
286	1918	4765
287	1920	4748
288	1928	4744
289	1931	4728
290	1934	4713
291	1937	4697
292	1942	4686
293	1944	4670
294	1947	4654
295	1953	4645
296	1956	4629
297	1958	4613
298	1960	4597
299	1963	4580
300	1972	4580
301	1974	4563
302	2028	4666
303	2040	4672
304	2042	4655
305	2044	4637
306	2049	4625
307	2051	4608
308	2056	4598
309	2058	4581
310	2065	4574
311	2069	4564
312	2073	4551
313	2156	4712
314	2165	4708
315	2167	4691
316	2169	4675
317	2172	4658
318	2180	4655
319	2182	4638
320	2185	4622
321	2188	4608
322	2204	4621
323	2212	4617
324	2215	4601
325	2224	4600
326	2227	4585
327	2233	4575
328	2238	4565
329	2241	4550
330	2244	4535
331	2246	4520
332	2248	4504
333	2252	4492
334	2256	4480
335	2259	4464
336	2262	4451
337	2271	4449
338	2273	4433
339	2276	4418
340	2278	4403
341	2288	4403
342	2292	4391
343	2294	4376
344	2302	4371
345	2305	4356
346	2307	4342
347	2334	4374
348	2337	4359
349	2339	4344
350	2348	4342
351	2351	4328
352	2353	4313
353	2355	4298
354	2357	4284
355	2365	4279
356	2370	4270
357	2373	4257
358	2377	4245
359	2381	4233
360	2383	4219
361	2389	4211
362	2397	4206
363	2399	4192
364	2402	4180
365	2404	4165
366	2412	4161
367	2415	4148
368	2418	4135
369	2428	4135
370	2467	4184
371	2527	4267
372	2533	4259
373	2538	4249
374	2541	4235
375	2543	4221
376	2545	4206
377	2548	4194
378	2552	4182
379	2555	4168
380	2558	4157
381	2560	4143
382	2569	4139
383	2572	4126
384	2574	4113
385	2580	4104
386	2582	4090
387	2584	4077
388	2586	4063
389	2589	4049
390	2591	4036
391	2593	4022
392	2595	4008
393	2597	3995
394	2599	3981
395	2641	4028
396	2643	4015
397	2645	4001
398	2648	3989
399	2656	3984
400	2659	3972
401	2661	3959
402	2663	3946
403	2669	3937
404	2696	3961
405	2700	3950
406	2703	3939
407	2705	3926
408	2709	3915
409	2713	3905
410	2716	3892
411	2718	3879
412	2720	3866
413	2722	3853
414	2724	3840
415	2739	3845
416	2741	3832
417	2748	3826
418	2752	3816
419	2775	3832
420	2777	3820
421	2779	3807
422	2879	3927
423	2888	3923
424	2892	3913
425	2904	3914
426	2907	3901
427	2909	3888
428	2911	3874
429	2915	3865
430	2918	3852
431	2920	3840
432	2924	3829
433	2926	3816
434	2983	3874
435	2990	3868
436	3035	3910
437	3039	3899
438	3064	3916
439	3068	3905
440	3070	3892
441	3073	3879
442	3080	3873
443	3083	3860
444	3085	3848
445	3087	3835
446	3229	3995
447	3233	3983
448	3236	3971
449	3327	4067
450	3338	4063
451	3340	4050
452	3343	4036
453	3348	4027
454	3353	4016
455	3356	4003
456	3358	3990
457	3472	4109
458	3476	4097
459	3479	4084
460	3487	4077
461	3489	4063
462	3493	4051
463	3495	4037
464	3506	4033
465	3508	4020
466	3517	4014
467	3520	4001
468	3522	3988
469	3525	3975
470	3534	3969
471	3536	3956
472	3539	3943
473	3541	3930
474	3544	3917
475	3555	3914
476	3565	3909
477	3569	3898
478	3572	3886
479	3575	3872
480	3589	3873
481	3597	3865
482	3605	3859
483	3608	3846
484	3619	3843
485	3623	3832
486	3632	3826
487	3637	3815
488	3650	3814
489	3653	3802
490	3658	3792
491	3661	3780
492	3663	3767
493	3665	3754
494	3667	3741
495	3669	3728
496	3675	3719
497	3677	3707
498	3680	3694
499	3683	3683
500	3690	3675
501	3692	3663
502	3694	3650
503	3696	3637
504	3698	3624
505	3700	3612
506	3707	3604
507	3708	3592
508	3711	3580
509	3714	3568
510	3716	3556
511	3718	3543
512	3736	3547
513	3738	3534
514	3741	3523
515	3746	3513
516	3748	3501
517	3750	3489
518	3754	3479
519	3762	3472
520	3763	3460
521	3765	3448
522	3767	3436
523	3769	3423
524	3774	3415
525	3777	3403
526	3780	3393
527	3783	3382
528	3792	3376
529	3794	3365
530	3797	3353
531	3799	3342
532	3803	3332
533	3806	3321
534	3808	3310
535	3810	3298
536	3817	3291
537	3819	3279
538	3821	3268
539	3823	3257
540	3826	3246
541	3830	3236
542	3833	3226
543	3835	3215
544	3845	3210
545	3849	3201
546	3857	3194
547	3860	3183
548	3862	3173
549	3866	3163
550	3876	3158
551	3878	3147
552	3881	3137
553	3884	3127
554	3893	3121
555	3901	3115
556	3904	3105
557	3906	3094
558	3920	3093
559	3923	3082
560	3924	3071
561	3933	3065
562	3935	3054
563	3936	3043
564	3939	3033
565	3957	3034
566	3959	3023
567	3972	3020
568	3974	3010
569	3977	3000
570	3979	2989
571	3981	2978
572	3982	2967
573	3984	2956
574	3985	2946
575	3988	2935
576	3995	2929
577	3997	2918
578	3999	2907
579	4001	2897
580	4095	2953
581	4098	2943
582	4100	2932
583	4102	2922
584	4107	2913
585	4110	2903
586	4112	2893
587	4114	2882
588	4116	2872
589	4118	2861
590	4122	2853
591	4126	2843
592	4128	2833
593	4197	2869
594	4199	2858
595	4207	2851
596	4209	2841
597	4211	2831
598	4216	2822
599	4218	2812
600	4220	2801
601	4222	2791
602	4237	2790
603	4241	2780
604	4246	2772
605	4261	2770
606	4263	2760
607	4270	2753
608	4287	2752
609	4296	2746
610	4298	2736
611	4300	2726
612	4302	2716
613	4309	2709
614	4312	2699
615	4314	2689
616	4329	2687
617	4332	2677
618	4334	2667
619	4336	2657
620	4349	2654
621	4358	2648
622	4361	2639
623	4364	2629
624	4367	2620
625	4381	2617
626	4384	2608
627	4394	2603
628	4396	2593
629	4398	2583
630	4409	2578
631	4412	2569
632	4414	2559
633	4424	2554
634	4426	2544
635	4429	2534
636	4436	2528
637	4438	2518
638	4440	2508
639	4460	2509
640	4467	2502
641	4470	2492
642	4474	2484
643	4476	2474
644	4484	2468
645	4486	2458
646	4488	2448
647	4490	2439
648	4495	2431
649	4498	2422
650	4511	2418
651	4513	2409
652	4520	2402
653	4523	2392
654	4531	2386
655	4569	2396
656	4577	2389
657	4581	2381
658	4583	2371
659	4586	2362
660	4613	2366
661	4615	2356
662	4618	2347
663	4620	2338
664	4636	2335
665	4659	2336
666	4667	2330
667	4676	2324
668	4680	2315
669	4684	2307
670	4700	2304
671	4707	2297
672	4710	2288
673	4726	2285
674	4808	2315
675	4811	2305
676	4813	2296
677	4841	2299
678	4856	2295
679	4858	2286
680	4860	2276
681	4863	2267
682	4872	2261
683	4878	2253
684	4886	2246
685	4888	2237
686	4890	2228
687	4893	2219
688	4910	2216
689	4918	2209
690	4921	2200
691	4924	2191
692	4927	2182
693	4929	2173
694	4931	2164
695	4934	2155
696	4950	2152
697	4963	2147
698	4965	2138
699	5002	2143
700	5032	2146
701	5034	2137
702	5036	2127
703	5052	2124
704	5061	2117
705	5063	2108
706	5065	2099
707	5069	2090
708	5072	2081
709	5074	2072
710	5139	2089
711	5141	2079
712	5144	2070
713	5146	2061
714	5151	2053
715	5153	2044
716	5156	2035
717	5165	2028
718	5167	2019
719	5169	2010
720	5171	2001
721	5176	1993
722	5209	1996
723	5243	1999
724	5250	1991
725	5252	1982
726	5254	1973
727	5262	1966
728	5266	1957
729	5268	1948
730	5270	1939
731	5277	1932
732	5280	1923
733	5288	1916
734	5301	1911
735	5306	1903
736	5309	1894
737	5313	1886
738	5316	1877
739	5320	1869
740	5322	1860
741	5325	1851
742	5332	1844
743	5335	1835
744	5377	1840
745	5384	1833
746	5387	1824
747	5393	1817
748	5402	1810
749	5404	1801
750	5407	1792
751	5409	1784
752	5419	1777
753	5469	1784
754	5471	1775
755	5487	1771
756	5489	1762
757	5495	1754
758	5497	1745
759	5500	1736
760	5502	1728
761	5505	1719
762	5511	1711
763	5514	1703
764	5516	1694
765	5518	1685
766	5544	1684
767	5547	1675
768	5549	1667
769	5553	1658
770	5567	1653
771	5757	1700
772	5759	1691
773	5765	1683
774	5862	1702
775	5865	1693
776	5873	1685
777	5876	1676
778	5879	1667
779	5881	1658
780	5895	1653
781	5902	1645
782	5904	1636
783	5906	1627
784	5909	1618
785	5918	1611
786	5944	1608
787	5946	1599
788	5949	1591
789	5962	1585
790	5967	1576
791	5971	1568
792	5974	1559
793	5983	1552
794	5988	1544
795	6002	1538
796	6036	1537
797	6039	1528
798	6045	1520
799	6048	1512
800	6066	1507
801	6068	1498
802	6070	1489
803	6080	1482
804	6085	1474
805	6088	1465
806	6097	1458
807	6109	1451
808	6111	1442
809	6113	1434
810	6122	1426
811	6124	1418
812	6131	1410
813	6139	1402
814	6144	1394
815	6147	1386
816	6150	1377
817	6156	1369
818	6196	1369
819	6198	1360
820	6245	1361
821	6252	1353
822	6260	1346
823	6268	1338
824	6271	1330
825	6273	1321
826	6275	1312
827	6290	1306
828	6370	1313
829	6372	1305
830	6374	1296
831	6383	1288
832	6385	1280
833	6387	1271
834	6393	1263
835	6396	1254
836	6398	1246
837	6400	1237
838	6403	1228
839	6408	1220
840	6454	1220
841	6528	1225
842	6531	1216
843	6533	1207
844	6536	1199
845	6540	1190
846	6542	1181
847	6544	1173
848	6546	1164
849	6610	1166
850	6613	1157
851	6628	1151
852	6637	1143
853	6639	1135
854	6645	1127
855	6650	1118
856	6658	1110
857	6660	1102
858	6668	1094
859	6671	1086
860	6674	1077
861	6688	1070
862	6755	1072
863	6757	1063
864	6763	1055
865	6767	1047
866	6789	1041
867	6831	1038
868	6834	1030
869	6836	1021
870	6838	1012
871	6841	1004
872	6858	997
873	6861	989
874	6876	982
875	6879	973
876	6883	965
877	6891	957
878	6906	950
879	6908	942
880	6910	933
881	6913	924
882	6915	916
883	6917	907
884	6931	900
885	6933	892
886	6939	884
887	6953	877
888	6955	868
889	6961	860
890	6964	851
891	6966	843
892	6969	835
893	6977	827
894	6982	819
895	7006	813
896	7008	804
897	7010	796
898	7013	787
899	7015	779
900	7019	771
901	7021	762
902	7028	755
903	7030	746
904	7037	738
905	7056	732
906	7058	723
907	7061	715
908	7069	707
909	7072	699
910	7074	691
911	7076	682
912	7087	675
913	7090	667
914	7093	659
915	7100	651
916	7129	645
917	7131	637
918	7133	628
919	7141	620
920	7143	612
921	7146	604
922	7150	596
923	7155	588
924	7158	580
925	7160	572
926	7174	565
927	7182	557
928	7185	549
929	7199	541
930	7202	533
931	7219	526
932	7223	518
933	7232	511
934	7235	503
935	7237	494
936	7240	486
937	7252	479
938	7254	471
939	7270	464
940	7285	456
941	7287	448
942	7299	441
943	7301	433
944	7303	425
945	7317	417
946	7320	409
947	7322	401
948	7325	393
949	7327	385
950	7337	378
951	7340	370
952	7349	362
953	7352	354
954	7357	346
955	7359	338
956	7376	331
957	7384	323
958	7386	315
959	7389	307
960	7391	299
961	7393	292
962	7405	284
963	7408	276
964	7422	269
965	7425	261
966	7428	253
967	7434	245
968	7457	238
969	7459	230
970	7491	223
971	7493	215
972	7496	208
973	7510	200
974	7514	192
975	7517	184
976	7522	177
977	7524	169
978	7526	161
979	7528	153
980	7530	145
981	7532	138
982	7539	130
983	7542	122
984	7543	114
985	7545	107
986	7547	99
987	7554	91
988	7556	84
989	7558	76
990	7560	68
991	7561	60
992	7563	53
